,Name,Symbol,APY (1y),APY (5y)
74,SCOR SE,SDRC.F,16.932256259058033,10.588844351067756
10,Engie SA,GZF.F,14.463841885344742,7.83478209616637
51,Mercialys,MEIYF,10.690411122853863,7.173005749438591
7,CrÃ©dit Agricole SA,XCA.F,10.615657088580765,6.482176793347477
41,Eutelsat Communications,EUTLF,10.550765940816628,10.693898739576698
19,Publicis Groupe SA,PU4.F,9.389544123382155,6.61667543049861
53,Nexity S.A.,NQ9.F,9.130626843924668,7.243864664882295
45,Icade,3IC.F,8.511750353599643,7.293467625859301
56,Rubis SCA,RBSFY,7.515213465047227,6.063803332791912
3,BNP Paribas SA,BNP.F,7.34370393117244,
77,Carmila SAS,CUX1.F,7.166095057228648,
64,Wendel SE,WNDLF,7.085190332531098,3.147636435094914
32,Amundi,AMDUF,6.875864267891188,
71,Metropole TÃ©lÃ©vision SA,MMT.F,6.841471899143602,8.487885982070528
67,SociÃ©tÃ© GÃ©nÃ©rale SA,SGE.F,6.826807712270084,8.813719621031282
2,AXA SA,AXAA.F,6.785994373554683,9.533914328475856
60,TF1 Group,FSE.F,6.114858931554506,6.658385147792444
4,Bouygues SA,BYG.F,6.095683774105671,6.594077380619148
36,Covivio,GSEFF,5.614724812828381,5.519135730312049
25,TOTAL SA,TOTB.F,5.5098536741344635,6.986679112156679
46,Imerys,IY4.F,4.519941886552286,4.619563596354261
78,Derichebourg,PNU.F,4.293910920255158,3.823311882354489
15,Legrand SA,LRC.F,4.119300776311534,3.014507198901244
33,BIC S.A.,BIF.F,4.089825158429263,7.757179541894012
27,Veolia Environnement SA,VVD.F,3.8999890880579797,3.784815279830709
40,Eurazeo,EUQ.F,3.804818643009712,2.6690364305148506
8,Danone SA,BSN.F,3.722995748282653,4.264782725939538
23,Sanofi,SNW.F,3.713989947750291,4.235945669294428
28,VINCI SA,SQU.F,3.6421277983467144,3.3914749092673304
22,Compagnie de Saint-Gobain SA,GOB.F,3.3040574860750516,4.698452705258381
43,Fnac Darty SA,GRUPF,3.2444374390876636,1.037404570131962
6,Carrefour SA,CAR.F,3.058368546501101,2.8315194412184708
59,SPIE SA,4SP.F,3.0326350945964577,3.424971781776892
69,Elis S.A.,7EL.F,2.7779975772879917,1.448490061769148
48,Ipsos SA,IPZ.F,2.6060856560429713,2.9768776263485455
39,Eramet,ERMAY,2.597973035177274,1.2241311196403344
65,Thales S.A.,THLLY,2.5442279741389635,0.8489068726488651
29,Vivendi SA,VVU.F,2.4500445541899207,2.4383208389969218
18,Pernod Ricard SA,PER.F,2.1901636407976963,2.180240710363589
13,Kering SA,PPX.F,2.1754287833014545,2.1197873341610722
24,Schneider Electric S.E.,SND.F,2.1436340540862773,2.797545117682874
58,Sopra Steria Group SA,OR8.F,2.1318723003470508,1.819411013215489
50,Korian,KO2.F,2.0309041338443605,1.4065990899036378
0,Air Liquide SA,AIL.F,1.9680140313727497,2.2585583055997036
80,Interparfums SA,I8P.F,1.7097137725051024,1.789835587577245
44,Gaztransport & Technigaz,9TG.F,1.66254611282312,4.560299996031208
81,Somfy,YSM.F,1.6174258116294082,1.943556727430142
54,Compagnie Plastic Omnium,EZM.F,1.5913109284695865,2.6919370513172627
11,EssilorLuxottica SA,ESL.F,1.5818110697021677,1.2660112157715981
66,"LVMH MoÃ«t Hennessy - Louis Vuitton, SociÃ©tÃ© EuropÃ©enne",MOH.F,1.5534649655198625,1.7772298720291413
61,Trigano S.A.,TGO.F,1.4463410792666385,2.1691340253190967
52,Nexans S.A.,NXPRF,1.4152813930747787,1.065783467192609
14,L'OrÃ©al SA,LOR.F,1.3703196213666793,1.87360400253557
5,Capgemini SE,CGM.F,1.3200309412451594,1.4663050379087428
34,BollorÃ©,BOIVF,1.264727172147064,0.9435094277422025
47,Ipsen Group,IPSEY,1.2453346546168371,1.1371448153470378
68,Teleperformance,RCF.F,1.0594282781218545,1.2996735118691367
31,ALTEN S.A.,AN3.F,1.0240668804878568,0.8558777466841613
76,Antin Infrastructure Partners,8ZU.F,0.955833820960924,
12,HermÃ¨s International SCA,HMI.F,0.6302211738515676,0.6656821614146707
21,Safran SA,SEJ1.F,0.4830172916069085,0.797759396778495
9,Dassault SystÃ¨mes SE,DSY.F,0.46376227645967333,0.5095150090064015
63,Virbac,VRBCF,0.3031236352887651,0.10898606744616979
73,Neoen,N1N.F,0.2723800482810147,0.05447600965620294
75,Valneva SE,VALN,0.0,
70,Orpea S.A.,OPA.F,0.0,0.6215626737018304
72,McPhy Energy,M6P.F,0.0,0.0
79,Euroapi,940.F,0.0,
49,JCDecaux,JCDXF,0.0,0.3724222007945349
17,Orange Belgium SA,MOS.F,0.0,2.4375986999040116
20,Renault SA,RNL.F,0.0,3.298741963225172
26,Unibail-Rodamco-Westfield,1BR1.F,0.0,7.016170699532375
62,Vallourec S.A,VACD.F,0.0,0.0
30,Worldline SA,WO6.F,0.0,0.0
57,Soitec,SLOIF,0.0,0.0
35,CGG (Unternehmen),CGGYY,0.0,9.890097194917768
55,Quadient,NPACY,0.0,3.2311037856131564
38,Elior Group,21E.F,0.0,2.049007689379445
1,Atos SE,AXI.F,0.0,1.2866906349706217
42,Casino Guichard-Perrachon S.A.,CGUSY,0.0,2.5452682481047924
16,Compagnie GÃ©nÃ©rale des Ã©tablissements Michelin,MCH.F,,
37,Dassault Aviation S.A.,DAU.F,,
