,Name,Symbol,APY (1y),APY (5y)
33,Deutsche Pfandbriefbank AG,PBB.F,31.22475778343159,19.336993475274692
96,KLOECKNER & CO SE,KCO.F,22.470302262084385,6.581488556879306
77,Bilfinger SE,GBF.F,13.12177015243666,7.151060676039144
37,Evonik Industries AG,EVK.F,10.55702995290515,7.4002569112190315
104,Sixt SE,SIX2.F,9.772201435648693,3.001455750642948
63,Schaeffler AG,SHA.F,8.797839059642044,8.863473385572437
7,Covestro AG,1COV.F,8.580542703378985,6.525109122128599
141,Mercedes-Benz Group AG,MBG.F,8.22619573660257,6.124065143018866
58,ProSiebenSat.1 Media SE,PSM.F,8.112867119587964,10.401361290000176
5,Bayerische Motoren Werke AG,BMW.F,7.41183847156923,5.907973866518127
70,TelefÃ³nica Deutschland Holding AG,O2D.F,7.2878328623862885,11.23302337554618
41,freenet AG,FNTN.F,7.0658859786228225,5.180259288093454
2,BASF SE,BAS.F,6.863208716876381,7.732278133495928
85,DWS Group GmbH & Co. KGaA,DWS.F,6.776662242113509,6.238131081183949
57,NORMA Group SE,NOEJ.F,6.5645386936090375,2.742443042487582
83,DIC ASSET AG,DIC.F,6.35225841294505,6.043103378312075
69,TAG Immobilien AG,TEG.F,5.838174164923301,5.090961120104527
73,Wacker Chemie AG,WCH.F,5.830162407018928,3.9330732595814126
1,Allianz SE,ALV.F,5.670192097521083,5.429623751883909
88,Hamborner REIT AG,HAB.F,5.534434067677747,5.933611179483659
13,E.ON SE,EOAN.F,5.10075508846196,5.840191735112342
25,Volkswagen AG,VOW3.F,5.0759398234318684,3.6135706485465997
123,Instone Real Estate Group AG,INS.F,5.03268824195611,1.236837585778837
95,JUNGHEINRICH AG,JUN3.F,4.877079519437676,2.420509040299439
26,Vonovia SE,VNA.F,4.749808375915526,3.845607731515149
108,Wacker Neuson SE,WAC.F,4.738240222281909,3.5563971509736065
16,HeidelbergCement AG,HEI.F,4.6706654407009305,4.757262240913536
20,MÃ¼nchener RÃ¼ckversicherungs-Gesellschaft AG,MUV2.F,4.581709831555527,4.819786549527612
52,LEG Immobilien AG,LEG.F,4.496050526803003,4.524364987511994
11,Deutsche Post AG,DPW.F,4.408334501408418,4.854121011064408
107,Talanx,TLX.F,4.221480433030757,4.622801759846746
92,INDUS HOLDING AG,INH.F,4.109860824715949,3.9583338197542464
87,Grenke AG,GLJ.F,4.0928424036530675,1.881709301978422
42,Fuchs Petrolub SE,FPE.F,4.008658122755826,3.151136403330951
120,Dermapharm Holding SE,DMP.F,3.974272725352046,2.0252499001863358
3,Bayer AG,BAYN.F,3.689103780214343,4.306392826872636
