,Name,Symbol,APY (1y),APY (5y)
25,"Mapfre, S.A.",CMAB.F,13.924411132673303,10.46096428565347
16,MERLIN Properties SOCIMI SA,MEQA.F,13.720775763320855,6.375663901119911
20,TelefÃ³nica,TNE5.F,11.148139620082134,10.444591792439242
6,CaixaBank SA,48CA.F,9.974604476333843,4.810762891408368
2,Actividades de ConstrucciÃ³n y Servicios SA,OCI1.F,8.907163260865302,7.795091000916971
8,Endesa SA,ENA.F,8.019784858782499,8.960050159462373
18,Red ElÃ©ctrica CorporaciÃ³n SA,RE21.F,5.711783134591728,7.790974550000941
1,Acerinox SA,ACE1.F,5.200783725635862,7.2065322163013725
19,Repsol SA,REP.F,5.127323658927032,8.484180982880108
5,Bankinter SA,BAKA.F,4.784539394665235,4.684358445927711
17,Naturgy Energy Group SA,GAN.F,4.631818645871352,8.175097531193952
11,Iberdrola SA,IBE1.F,4.492539503746791,4.820657543383004
21,"Banco de Sabadell, S.A.",BDSB.F,4.231764437673913,4.819365081500426
22,"Banco Santander, S.A.",SAN.MC,4.040524662464582,4.654698638182381
24,Fluidra,4F1.F,3.9683638550063822,1.4546355964968112
14,"Inmobiliaria Colonial, SOCIMI SA",COL.MC,3.5500222025141372,2.6468233974870685
13,Indra Sistemas SA,IDA.F,3.337794627852376,0.6675589232692676
12,Industria de DiseÃ±o Textil SA,IXD1.F,3.3279887411722657,2.506909471402558
9,Ferrovial SA,UFG.F,2.863263258862642,3.1098466438586527
0,Acciona SA,AJ3.F,2.538214689163997,3.360232687681683
26,Pharma Mar S.A.,PHMMF,0.9962958528407231,0.347861159303384
7,Cellnex Telecom SA,472.F,0.04346152053637716,0.22595510498784255
15,MeliÃ¡ Hotels International,MEL.F,0.0,0.7799475824800968
10,Grifols SA,OZTA.F,0.0,1.2067807853676695
23,Abengoa S.A.,AGOAF,0.0,0.0
4,Amadeus IT Group SA,AI3A.F,0.0,0.9109693373254876
3,Aena SA,A44.F,0.0,4.041194549909559
