,Name,Symbol,APY (1y),APY (5y)
16,Randstad N.V.,RSH.F,10.202049675487673,7.823243912794154
4,ING Groep N.V.,INN1.F,8.20901583591024,7.53558869232662
14,NN Group N.V.,2NN.F,5.908465385114618,6.778115632725975
21,BE Semiconductor Industries N.V.,BESI.AS,5.646601978514828,5.859177310016057
13,Koninklijke KPN N.V.,KPN.F,4.72965530707996,5.5274085862845075
6,Aegon N.V.,AENF.F,4.700624731517311,6.9937345580308365
22,Signify N.V.,LIGHT.AS,4.088923871516024,4.851323277421024
15,Koninklijke Philips N.V.,PHIA.F,4.055881641472263,3.0172763688521385
7,Koninklijke Ahold Delhaize N.V.,AHOD.F,3.827163577218774,4.794357591943152
1,Unilever PLC,UNVB.F,3.321363382664145,3.185563847455247
24,Shell plc,SHEL,2.9246099929762295,5.375218633139135
8,Akzo Nobel N.V.,AKUP.F,2.579894966308336,
0,RELX PLC,RDED.F,2.3618876536395375,2.9819457688728077
10,Koninklijke DSM N.V.,DSM2.F,1.7703595379696475,2.099636675159269
17,Wolters Kluwer N.V.,WOSB.F,1.7353555852662197,1.9080276982174225
2,ArcelorMittal,ARRD.F,1.4833265016919794,1.0756061560215069
11,Heineken N.V.,4H5.F,1.4582758902974806,1.6351896816065885
9,ASML Holding N.V.,ASME.F,1.1862521516315991,1.0695794661272955
12,IMCD N.V.,INX.F,1.114513285472247,1.4486159415152857
23,Universal Music Group N.V.,UMGNF,1.0722095907726885,
20,ASM International N.V.,AVSN.F,0.9298768254651202,1.4404114963928325
19,Prosus N.V.,PROSY,0.22686581111606946,
5,Adyen N.V.,1N8.F,0.0,0.0
3,Unibail-Rodamco-Westfield,1BR1.F,0.0,7.016170717965929
18,Just Eat Takeaway.com NV,GRUB,,
