,Name,Symbol,APY (1y),APY (5y)
10,Engie SA,GZF.F,14.463841885344742,7.834782109497205
7,CrÃ©dit Agricole SA,XCA.F,10.615657088580765,6.482176789423452
19,Publicis Groupe SA,PU4.F,9.389544136899074,6.616675415590239
38,Stellantis N.V.,STLA,7.596497201811149,8.871071474357437
3,BNP Paribas SA,BNP.F,7.34370393117244,8.413235592354502
37,SociÃ©tÃ© GÃ©nÃ©rale SA,SGE.F,6.826807712270084,8.813719612570953
2,AXA SA,AXAA.F,6.785994373554683,9.533914312917707
4,Bouygues SA,BYG.F,6.095683774105671,6.594077385061983
26,TOTAL SA,TOTB.F,5.509853684061702,6.986679055065355
15,Legrand SA,LRC.F,4.119300776311534,3.014507197745437
28,Veolia Environnement SA,VVD.F,3.8999890880579797,3.7848152760033704
8,Danone SA,BSN.F,3.722995748282653,4.2647827232364595
23,Sanofi,SNW.F,3.713989947750291,4.235945673862044
29,VINCI SA,SQU.F,3.6421277850644,3.391474905814034
22,Compagnie de Saint-Gobain SA,GOB.F,3.3040574860750516,4.6984526908478115
6,Carrefour SA,CAR.F,3.058368546501101,2.8315194369198027
35,Thales S.A.,THLLY,2.5442279736997016,0.8489068737176693
30,Vivendi SA,VVU.F,2.4500445541899207,2.4383208342269924
18,Pernod Ricard SA,PER.F,2.1901636407976963,2.1802407140718407
13,Kering SA,PPX.F,2.1754287833014545,2.1197873324547007
24,Schneider Electric S.E.,SND.F,2.1436340540862773,2.79754511425049
0,Air Liquide SA,AIL.F,1.9680140313727497,2.2585583064177084
11,EssilorLuxottica SA,ESL.F,1.5818110697021677,1.2660112150312257
36,"LVMH MoÃ«t Hennessy - Louis Vuitton, SociÃ©tÃ© EuropÃ©enne",MOH.F,1.5534649655198625,1.7772298659842556
1,ArcelorMittal,ARRD.F,1.4833265016919794,1.0756061526627783
14,L'OrÃ©al SA,LOR.F,1.3703196213666793,1.8736040055342371
5,Capgemini SE,CGM.F,1.3200309412451594,1.4663050390379149
34,Eurofins Scientific SE,ESF0.F,1.232999999140855,0.6579164407316203
39,Teleperformance,RCF.F,1.0594282781218545,1.2996735131384916
25,STMicroelectronics N.V.,SGM.F,0.6576144901605131,1.0160997569995631
12,HermÃ¨s International SCA,HMI.F,0.6302211735733958,0.6656821633677363
21,Safran SA,SEJ1.F,0.4830172916069085,0.7977593952402834
9,Dassault SystÃ¨mes SE,DSY.F,0.46376227645967333,0.5095150032207642
27,Unibail-Rodamco-Westfield,1BR1.F,0.0,7.016170735282131
31,Worldline SA,WO6.F,0.0,0.0
32,The Boeing Company,BCO.F,0.0,1.2363803215032192
17,Orange Belgium SA,MOS.F,0.0,2.4375987009425555
20,Renault SA,RNL.F,0.0,3.298741959764836
16,Compagnie GÃ©nÃ©rale des Ã©tablissements Michelin,MCH.F,,
33,General Electric Company,GEC.F,,
