,Name,Symbol,APY (1y),APY (5y)
7,Covestro AG,1COV.F,8.580542703378985,6.525109146717082
39,Mercedes-Benz Group AG,MBG.F,8.22619573660257,6.124065124195323
5,Bayerische Motoren Werke AG,BMW.F,7.41183847156923,5.907973867434581
2,BASF SE,BAS.F,6.863208716876381,7.7322781176005755
1,Allianz SE,ALV.F,5.670192097521083,5.429623734536625
12,E.ON SE,EOAN.F,5.10075508846196,5.840191730654071
24,Volkswagen AG,VOW3.F,5.0759398234318684,3.6135706428838477
25,Vonovia SE,VNA.F,4.749808375915526,3.84560772204944
15,HeidelbergCement AG,HEI.F,4.6706654407009305,4.757262240321388
20,MÃ¼nchener RÃ¼ckversicherungs-Gesellschaft AG,MUV2.F,4.581709831555527,4.819786545905418
10,Deutsche Post AG,DPW.F,4.408334501408418,4.854121008889531
3,Bayer AG,BAYN.F,3.689103780214343,4.30639282325126
11,Deutsche Telekom AG,DTE.F,3.6554262576399004,5.634553690874727
37,Porsche Automobil Holding SE,PAH3.F,3.52150592601121,5.148918460093197
23,Siemens AG,SIE.F,3.3449067137551616,3.5967046644745597
6,Continental AG,CON.F,3.2059192664591047,3.6404926959034913
14,Fresenius SE & Co. KGaA,FRE.F,3.131995150454895,2.5746049435696907
13,Fresenius Medical Care AG & Co. KGaA St,FME.F,2.8710225440396293,2.790390913875892
16,Henkel AG & Co. KGaA Vz,HEN3.F,2.8689986094173614,2.7741667733896143
21,RWE AG,RWE.F,2.3598042273173068,4.668905817451842
27,Brenntag AG,BNR.F,2.1011963766469046,2.4110479233378026
9,Deutsche BÃ¶rse AG,DB1.F,2.0233113337199846,2.2168149226895615
8,Deutsche Bank AG,DBK.F,2.010113826652261,0.9172487946113803
0,adidas AG,ADS.F,1.7993750221607214,1.7579352674177207
33,Siemens Healthineers AG,SHL.F,1.6094262638543169,1.455155243071298
18,Linde PLC,LIN.F,1.5982363660365366,2.0721032376072803
26,Airbus SE,AIR.F,1.4370587309309872,1.358192899379762
29,MTU Aero Engines AG,MTX.F,1.150474197419461,1.3396746157706179
19,MERCK Kommanditgesellschaft auf Aktien,MRK.F,1.0259031819894122,1.436985841840648
30,PUMA SE,PUM.F,1.0037981257206543,1.134006696296501
34,Symrise AG,SY1.F,0.9463530878032367,1.246361600203192
17,Infineon Technologies AG,IFX.F,0.9229811267352922,1.1277315111775312
28,Hannover RÃ¼ck SE,HNR1.F,0.8145084549001615,1.5047121070748817
4,Beiersdorf AG,BEI.F,0.7369835536686091,0.7359208124818218
36,Siemens Energy AG,ENR.F,0.5798420817155157,
22,SAP SE,SAP.F,0.5082188416785588,1.5907719912478355
32,Sartorius AG,SRT3.F,0.308089259229675,0.3342357709898658
31,QIAGEN N.V.,QIA.F,0.0,0.0
35,Zalando SE,ZAL.F,0.0,0.0
38,Daimler Truck Holding AG,DTG.F,0.0,
